epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.573,0.92557,2.32311,1.40871,0.54135,0.57978,0.57812,0.40213,0.98651,1.91626,1.60001,0.000138652,0.000138652,0.000138652
2,238.166,0.96507,1.79666,1.42021,0.56833,0.54784,0.55145,0.34389,1.23005,1.91625,1.83169,0.000222677,0.000222677,0.000222677
3,350.092,0.92078,1.63482,1.39129,0.68503,0.68391,0.71336,0.49737,1.0168,1.33998,1.59611,0.000251658,0.000251658,0.000251658
4,461.645,0.86518,1.39617,1.34332,0.75036,0.77121,0.80347,0.60127,0.90989,1.08318,1.48281,0.000169302,0.000169302,0.000169302
5,570.521,0.78351,1.16429,1.28192,0.8493,0.79128,0.86032,0.66979,0.80562,0.84532,1.37959,8.6736e-05,8.6736e-05,8.6736e-05
