epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.212,0.69877,0.84144,1.2166,0.85557,0.8125,0.88952,0.70139,0.79048,0.78147,1.35331,0.000138652,0.000138652,0.000138652
2,233.515,0.72076,0.89724,1.23413,0.82419,0.79963,0.84754,0.63548,0.89118,0.86612,1.48155,0.00023184,0.00023184,0.00023184
3,346.061,0.70926,0.91278,1.22689,0.81231,0.77237,0.82624,0.63607,0.85729,0.9226,1.42821,0.000279157,0.000279157,0.000279157
4,457.66,0.70844,0.87613,1.22281,0.83269,0.83968,0.89552,0.69503,0.81006,0.74348,1.39336,0.000210585,0.000210585,0.000210585
5,569.097,0.67401,0.78088,1.2003,0.88543,0.80697,0.89469,0.71162,0.76757,0.73701,1.34186,0.00014178,0.00014178,0.00014178
6,680.807,0.63685,0.70944,1.17304,0.88835,0.81677,0.89502,0.71847,0.74182,0.6913,1.31026,7.2975e-05,7.2975e-05,7.2975e-05
